A smiling cute star mascot with tiny thumbs up isolated on a clean white background, chubby rounded outline with a soft outer glow, overhead flat shot, bright even studio light, palette sunny yellow hex FFD84C and candy pink hex FFA6C1, clean space around the sticker, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A rounded glossy pink heart with a tiny sparkle isolated on a clean white background, soft highlight on the top edge, overhead flat shot, bright even studio light, palette candy pink hex FF9EBB and warm cream hex FFF3E0, clean space around the sticker, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A chubby chibi bear character waving one paw isolated on a clean white background, big head small body with soft rounded outline, overhead flat shot, bright even studio light, palette caramel hex C89968 and warm cream hex FFF1DC, clean space around the character, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A chubby chibi bunny with long ears and a big smile isolated on a clean white background, big head small body with soft rounded outline, overhead flat shot, bright even studio light, palette pastel pink hex FFD1DA and warm white hex FFFAF5, clean space around the character, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A rounded pastel mint speech bubble with a tiny heart inside isolated on a clean white background, soft drop shadow and clean outline, overhead flat shot, bright even studio light, palette pastel mint hex B7EBD8 and warm white hex FFFAF5, clean space around the bubble, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A row of rounded pastel number badges from 1 to 5 isolated on a clean white background, soft ribbon detail at the top of each badge, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel yellow hex FFE9A8 and pastel mint hex C8ECD8 and pastel blue hex B7D9F0, clean space around the badges, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A happy birthday text topper with a wooden stick and two star accents isolated on a clean white background, playful rounded hand-drawn letters, overhead flat shot, bright even studio light, palette candy pink hex FFA6C1 and warm gold hex E5B551, clean space around the topper, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
A celebrate text topper on a wooden stick with tiny pastel confetti around isolated on a clean white background, confetti scattered evenly, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel mint hex C8ECD8 and pastel yellow hex FFE9A8, clean space around the topper, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
A garland of pastel triangular flags hanging on a soft string isolated on a clean white background, slight sag and gentle drop shadow, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel mint hex C8ECD8 and pastel blue hex B7D9F0, clean space above and below the garland, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
Scattered pastel confetti pieces and thin curling ribbons isolated on a clean white background, airy composition with a light drop shadow, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel mint hex C8ECD8 and pastel yellow hex FFE9A8 and pastel blue hex B7D9F0, clean space between the pieces, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
A cluster of pastel round party balloons with thin strings isolated on a clean white background, soft highlight on each balloon, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel mint hex C8ECD8 and pastel yellow hex FFE9A8, clean space around the cluster, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
A set of pastel ribbons and bows in three shapes isolated on a clean white background, gentle folds and soft highlights, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and pastel mint hex C8ECD8, clean space between the ribbons, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute party topper illustration styling. No text, logo, watermark, or blur — sharp throughout.
A rounded rectangle price tag with a small hole and a warm string isolated on a clean white background, soft paper texture and clean edges, overhead flat shot, bright even studio light, palette warm cream hex F6E9D2 and kraft brown hex 9C6B45, clean space around the tag, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A round pastel label with a soft wavy edge and blank inner circle isolated on a clean white background, clean flat vector shape, overhead flat shot, bright even studio light, palette pastel pink hex FFC1D8 and warm white hex FFFAF5, clean space around the label, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
