filename,asset_type,title_en,title_ko,keywords_en,keywords_ko,category,batch,axis_subject,axis_color
ce-01.png,photo,Cute reward sticker with a smiling star and thumbs up,웃는 별과 엄지척이 있는 귀여운 칭찬 스티커,"reward sticker, star sticker, smiling star, praise sticker, thumbs up, kids sticker, yellow, pink, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, pastel, soft, adorable, cartoon","리워드 스티커, 별 스티커, 웃는 별, 칭찬 스티커, 엄지척, 아이 스티커, 옐로, 핑크, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운, 카와이",9. Graphic Resources,cute_elements_24,칭찬 별 스티커 (A 리워드),옐로-핑크
ce-02.png,photo,Cute reward heart sticker with a gentle sparkle,은은한 스파클이 있는 귀여운 칭찬 하트 스티커,"heart sticker, reward heart, sparkle heart, praise heart, cute heart, glossy heart, pink, cream, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, reward sticker, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, pastel, soft, adorable","하트 스티커, 리워드 하트, 스파클 하트, 칭찬 하트, 귀여운 하트, 광택 하트, 핑크, 크림, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 칭찬 스티커, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운",9. Graphic Resources,cute_elements_24,칭찬 하트 (A 리워드),핑크-크림
ce-03.png,photo,Cute chibi bear mascot sticker waving hello,인사하는 귀여운 치비 곰돌이 마스코트 스티커,"chibi bear, bear mascot, waving, cute bear, mascot sticker, bear character, caramel, cream, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, reward sticker, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, pastel, soft, adorable","치비 곰돌이, 곰돌이 마스코트, 인사, 귀여운 곰, 마스코트 스티커, 곰 캐릭터, 카라멜, 크림, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 칭찬 스티커, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운",9. Graphic Resources,cute_elements_24,치비 곰돌이 (A 리워드),카라멜-크림
ce-04.png,photo,Cute chibi bunny mascot sticker with a big smile,환한 미소의 귀여운 치비 토끼 마스코트 스티커,"chibi bunny, bunny mascot, cute rabbit, smiling bunny, rabbit character, bunny sticker, pastel pink, white, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, reward sticker, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, pastel, soft, adorable","치비 토끼, 토끼 마스코트, 귀여운 래빗, 웃는 토끼, 래빗 캐릭터, 토끼 스티커, 파스텔 핑크, 화이트, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 칭찬 스티커, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운",9. Graphic Resources,cute_elements_24,치비 토끼 (A 리워드),파스텔 핑크-화이트
ce-05.png,photo,Cute cheer message speech bubble sticker,귀여운 응원 메시지 말풍선 스티커,"speech bubble, cheer bubble, message bubble, chat bubble, cute bubble, talk balloon, mint, white, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, reward sticker, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, pastel, soft, adorable","말풍선, 응원 말풍선, 메시지 버블, 채팅 버블, 귀여운 버블, 토크 벌룬, 민트, 화이트, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 칭찬 스티커, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운",9. Graphic Resources,cute_elements_24,응원 말풍선 (A 리워드),민트-화이트
ce-06.png,photo,Cute number reward badge sticker set,귀여운 숫자 리워드 뱃지 스티커 세트,"number badge, reward badge, score sticker, points badge, numeric sticker, kids reward, pastel, multicolor, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, reward sticker, praise, chibi character, mascot, sticker set, hand drawn, cute, kawaii, soft, adorable, cartoon","숫자 뱃지, 리워드 뱃지, 점수 스티커, 포인트 뱃지, 숫자 스티커, 아이 리워드, 파스텔, 멀티컬러, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 칭찬 스티커, 리워드, 치비 캐릭터, 마스코트, 스티커 세트, 손그림, 귀여운",9. Graphic Resources,cute_elements_24,숫자 뱃지 세트 (A 리워드),파스텔 멀티컬러
ce-07.png,photo,Cute happy birthday cake topper illustration,귀여운 해피 버스데이 케이크 토퍼 일러스트,"birthday topper, cake topper, happy birthday, party topper, birthday sign, cake decoration, pink, gold, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, party, celebration, decorative topper, banner, birthday, cute, kawaii, pastel, soft, adorable, cartoon","버스데이 토퍼, 케이크 토퍼, 해피 버스데이, 파티 토퍼, 생일 사인, 케이크 데코, 핑크, 골드, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 파티, 축하, 장식 토퍼, 배너, 생일, 귀여운, 카와이",9. Graphic Resources,cute_elements_24,해피 버스데이 토퍼 (B 파티),핑크-골드
ce-08.png,photo,Cute celebration cake topper with tiny confetti,작은 컨페티가 함께 있는 축하 케이크 토퍼,"celebration topper, confetti topper, party sign, cake pick, celebrate, cake decoration, pastel, confetti, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, cake topper, party, celebration, decorative topper, banner, birthday, cute, kawaii, soft, adorable, cartoon","축하 토퍼, 컨페티 토퍼, 파티 사인, 케이크 픽, 셀레브레이트, 케이크 데코, 파스텔, 컨페티, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 케이크 토퍼, 파티, 축하, 장식 토퍼, 배너, 생일, 귀여운",9. Graphic Resources,cute_elements_24,축하 토퍼 (B 파티),파스텔 컨페티
ce-09.png,photo,Cute triangular garland banner illustration,귀여운 삼각 가랜드 배너 일러스트,"garland, bunting, triangle banner, party banner, paper flags, hanging banner, pastel, multicolor, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, cake topper, party, celebration, decorative topper, banner, birthday, cute, kawaii, soft, adorable, cartoon","가랜드, 버닝, 삼각 배너, 파티 배너, 페이퍼 플래그, 행잉 배너, 파스텔, 멀티컬러, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 케이크 토퍼, 파티, 축하, 장식 토퍼, 배너, 생일, 귀여운",9. Graphic Resources,cute_elements_24,가랜드 배너 (B 파티),파스텔 멀티컬러
ce-10.png,photo,Cute pastel party confetti scattered pieces,흩뿌려진 귀여운 파스텔 파티 컨페티,"confetti, party confetti, paper confetti, celebration, scattered pieces, party element, pastel, multicolor, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, cake topper, party, decorative topper, banner, birthday, cute, kawaii, soft, adorable, cartoon, clipart","컨페티, 파티 컨페티, 페이퍼 컨페티, 셀레브레이션, 흩뿌려진, 파티 요소, 파스텔, 멀티컬러, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 케이크 토퍼, 파티, 축하, 장식 토퍼, 배너, 생일, 귀여운",9. Graphic Resources,cute_elements_24,파티 컨페티 (B 파티),파스텔 멀티컬러
ce-11.png,photo,Cute pastel party balloon cluster illustration,귀여운 파스텔 파티 풍선 클러스터 일러스트,"balloon cluster, party balloons, pastel balloons, celebration balloons, floating balloons, bunch of balloons, pastel pink, mint, yellow, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, cake topper, party, celebration, decorative topper, banner, birthday, cute, kawaii, pastel, soft","풍선 클러스터, 파티 풍선, 파스텔 풍선, 축하 풍선, 떠있는 풍선, 풍선 다발, 파스텔 핑크, 민트, 옐로, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 케이크 토퍼, 파티, 축하, 장식 토퍼, 배너, 생일",9. Graphic Resources,cute_elements_24,풍선 클러스터 (B 파티),파스텔 핑크-민트-옐로
ce-12.png,photo,Cute pastel gift ribbon and bow set,귀여운 파스텔 선물 리본과 보우 세트,"ribbon, bow, gift ribbon, present bow, decorative ribbon, ribbon set, pastel pink, mint, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, cake topper, party, celebration, decorative topper, banner, birthday, cute, kawaii, pastel, soft, adorable","리본, 보우, 기프트 리본, 선물 보우, 장식 리본, 리본 세트, 파스텔 핑크, 민트, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 케이크 토퍼, 파티, 축하, 장식 토퍼, 배너, 생일, 귀여운",9. Graphic Resources,cute_elements_24,리본 세트 (B 파티),파스텔 핑크-민트
ce-13.png,photo,Cute price tag label sticker,귀여운 가격 태그 라벨 스티커,"price tag, tag label, price sticker, hanging tag, product tag, shop tag, cream, brown, sticker, planner sticker, cardnews, topper, label, digital sticker, greeting card, social media, invitation, tag, badge, handwritten, note, text label, cute, kawaii, pastel, soft, adorable, cartoon","가격 태그, 태그 라벨, 가격 스티커, 행잉 태그, 상품 태그, 샵 태그, 크림, 브라운, 스티커, 플래너 스티커, 카드뉴스, 토퍼, 라벨, 디지털 스티커, 카드, 소셜 미디어, 초대장, 태그, 뱃지, 손글씨, 메모, 텍스트 라벨, 귀여운, 카와이",9. Graphic Resources,cute_elements_24,가격 태그 (C 라벨),크림-브라운
