filename,asset_type,title_en,title_ko,keywords_en,keywords_ko,category,batch,axis_subject,axis_color
au-bg-01.png,photo,Soft warm amber and rust gradient autumn background,부드러운 앰버-러스트 가을 그라데이션 배경,"gradient background, amber, rust, warm gradient, smooth blend, ombre, background, banner, template, social media, greeting card, abstract, gradient, blur, watercolor, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element, no people, natural","그라데이션 배경, 앰버, 러스트, 웜 그라데이션, 부드러운 블렌드, 옴브레, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 수채, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤, 아늑한, 여백",9. Graphic Resources,autumn_bg_24,웜 앰버 그라데이션 (A 추상),웜 앰버-러스트
au-bg-02.png,photo,Autumn maple watercolor wash on textured paper,질감 종이 위 단풍 수채 워시,"watercolor, wash, paper texture, painted, artistic background, brush, burnt orange, golden yellow, background, banner, template, social media, greeting card, abstract, gradient, blur, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element, no people","수채, 워시, 종이 질감, 페인팅, 아티스틱 배경, 브러시, 번트 오렌지, 골든 옐로, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤, 아늑한",9. Graphic Resources,autumn_bg_24,단풍 워터컬러 (A 추상),번트 오렌지-골드
au-bg-03.png,photo,Soft blurred beige and terracotta autumn backdrop,부드럽게 흐린 베이지-테라코타 가을 배경,"blurred background, soft focus, beige, terracotta, muted, neutral background, background, banner, template, social media, greeting card, abstract, gradient, blur, watercolor, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element, no people, natural","블러 배경, 소프트 포커스, 베이지, 테라코타, 뮤트, 뉴트럴 배경, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 수채, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤, 아늑한, 여백",9. Graphic Resources,autumn_bg_24,베이지 테라코타 블러 (A 추상),뮤트 베이지-테라코타
au-bg-04.png,photo,Minimal falling leaf silhouettes on a warm cream background,웜 크림 배경 위 미니멀 낙엽 실루엣,"leaf silhouette, falling leaves, minimal shape, silhouette, leaf pattern, autumn leaf, cream, olive, background, banner, template, social media, greeting card, abstract, gradient, blur, watercolor, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","낙엽 실루엣, 떨어지는 잎, 미니멀 도형, 실루엣, 잎 패턴, 가을 잎, 크림, 올리브, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 수채, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤",9. Graphic Resources,autumn_bg_24,낙엽 실루엣 (A 추상),웜 크림-올리브
au-bg-05.png,photo,Warm neutral autumn color block layout,웜 뉴트럴 가을 컬러블록 레이아웃,"color block, block layout, geometric background, panel, color palette, modern layout, mustard, clay, background, banner, template, social media, greeting card, abstract, gradient, blur, watercolor, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","컬러블록, 블록 레이아웃, 기하 배경, 패널, 컬러 팔레트, 모던 레이아웃, 머스타드, 클레이, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 수채, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤",9. Graphic Resources,autumn_bg_24,가을 컬러블록 (A 추상),머스타드-클레이
au-bg-06.png,photo,Autumn amber and burgundy ink marbling pattern,가을 앰버-버건디 잉크 마블링 패턴,"marble, marbling, ink, swirl, fluid pattern, organic pattern, amber, burgundy, background, banner, template, social media, greeting card, abstract, gradient, blur, watercolor, painterly, color wash, soft focus background, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","마블, 마블링, 잉크, 소용돌이, 유동 패턴, 유기적 패턴, 앰버, 버건디, 배경, 배너, 템플릿, 소셜 미디어, 카드, 추상, 그라데이션, 블러, 수채, 페인터리, 컬러 워시, 가을, 폴, 가을 배경, 시즌, 웜톤",9. Graphic Resources,autumn_bg_24,앰버 잉크 마블 (A 추상),앰버-버건디
au-bg-07.png,photo,Macro of soft oatmeal knitted wool texture,부드러운 오트밀 니트 울 텍스처 매크로,"knit, wool, knitted texture, yarn, sweater, cozy fabric, oatmeal, cream, background, banner, template, social media, greeting card, texture, fabric, material, macro, surface, tactile, close up, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","니트, 울, 니트 텍스처, 실, 스웨터, 포근한 원단, 오트밀, 크림, 배경, 배너, 템플릿, 소셜 미디어, 카드, 텍스처, 원단, 재질, 매크로, 표면, 촉감, 클로즈업, 가을, 폴, 가을 배경, 시즌",9. Graphic Resources,autumn_bg_24,오트밀 니트 (B 텍스처),오트밀-크림
au-bg-08.png,photo,Macro of rust corduroy fabric ribs,러스트 코듀로이 원단 골 매크로,"corduroy, fabric, ribbed, textile, woven, fabric macro, rust, brown, background, banner, template, social media, greeting card, texture, material, macro, surface, tactile, close up, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element, no people","코듀로이, 원단, 골지, 텍스타일, 직물, 원단 매크로, 러스트, 브라운, 배경, 배너, 템플릿, 소셜 미디어, 카드, 텍스처, 재질, 매크로, 표면, 촉감, 클로즈업, 가을, 폴, 가을 배경, 시즌, 웜톤",9. Graphic Resources,autumn_bg_24,러스트 코듀로이 (B 텍스처),러스트-브라운
au-bg-09.png,photo,Warm kraft paper texture with subtle fibers,은은한 섬유결의 웜 크래프트 종이 질감,"kraft paper, paper texture, recycled paper, fiber, paper background, craft, kraft brown, tan, background, banner, template, social media, greeting card, texture, fabric, material, macro, surface, tactile, close up, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","크래프트 종이, 종이 질감, 재생지, 섬유, 종이 배경, 크래프트, 크래프트 브라운, 탠, 배경, 배너, 템플릿, 소셜 미디어, 카드, 텍스처, 원단, 재질, 매크로, 표면, 촉감, 클로즈업, 가을, 폴, 가을 배경, 시즌",9. Graphic Resources,autumn_bg_24,크래프트 종이 (B 텍스처),크래프트 브라운-탠
au-bg-10.png,photo,Natural beige linen fabric texture,내추럴 베이지 린넨 원단 텍스처,"linen, fabric texture, natural fabric, weave, cloth, textile background, beige, sand, background, banner, template, social media, greeting card, texture, fabric, material, macro, surface, tactile, close up, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","린넨, 원단 텍스처, 천연 원단, 위브, 천, 텍스타일 배경, 베이지, 샌드, 배경, 배너, 템플릿, 소셜 미디어, 카드, 텍스처, 원단, 재질, 매크로, 표면, 촉감, 클로즈업, 가을, 폴, 가을 배경, 시즌",9. Graphic Resources,autumn_bg_24,린넨 원단 (B 텍스처),베이지-샌드
au-bg-11.png,photo,Warm oak wood grain surface,웜 오크 나무결 표면,"wood grain, oak, wooden background, timber, wood texture, natural wood, oak brown, honey, background, banner, template, social media, greeting card, texture, fabric, material, macro, surface, tactile, close up, autumn, fall, autumn background, seasonal, warm tone, cozy, copy space, design element","나무결, 오크, 우드 배경, 목재, 우드 텍스처, 천연 나무, 오크 브라운, 허니, 배경, 배너, 템플릿, 소셜 미디어, 카드, 텍스처, 원단, 재질, 매크로, 표면, 촉감, 클로즈업, 가을, 폴, 가을 배경, 시즌",9. Graphic Resources,autumn_bg_24,오크 나무결 (B 텍스처),오크 브라운-허니
