filename,asset_type,title_en,title_ko,keywords_en,keywords_ko,category,batch,axis_subject,axis_color
va-01.png,photo,Vivid liquid ink blooming and diffusing in clear water,맑은 물속에서 퍼지는 비비드 잉크 블룸,"ink, ink bloom, diffusion, water, swirl, liquid ink, magenta, cyan, lime, banner, template, social media, presentation, poster, fluid art, liquid, flowing, marble, organic, dynamic, abstract, background, copy space, design element, vivid, saturated, colorful, modern","잉크, 잉크 블룸, 확산, 물, 소용돌이, 리퀴드 잉크, 마젠타, 시안, 라임, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 유동적, 리퀴드, 흐름, 마블, 유기적, 다이내믹, 추상, 배경, 여백, 디자인 요소",9. Graphic Resources,vivid_abstract_20,잉크 블룸 (A 리퀴드),비비드 마젠타-시안
va-02.png,photo,Glossy liquid metal flowing in smooth iridescent ribbons,매끄러운 리본으로 흐르는 광택 리퀴드 메탈,"liquid metal, chrome, ribbon, metallic, iridescent, molten, hot pink, cyan, gold, banner, template, social media, presentation, poster, fluid art, liquid, flowing, swirl, marble, organic, dynamic, abstract, background, copy space, design element, vivid, saturated, colorful","리퀴드 메탈, 크롬, 리본, 메탈릭, 이리데센트, 용융, 핫핑크, 시안, 골드, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 유동적, 리퀴드, 흐름, 소용돌이, 마블, 유기적, 다이내믹, 추상, 배경, 여백",9. Graphic Resources,vivid_abstract_20,리퀴드 메탈 리본 (A 리퀴드),비비드 크롬 이리데센트
va-03.png,photo,Thick acrylic paint pour with blooming cells and lacing,셀과 레이싱이 피어난 두꺼운 아크릴 페인트 푸어,"acrylic pour, paint, fluid painting, paint cells, pouring, abstract painting, tangerine, ultraviolet, yellow, banner, template, social media, presentation, poster, fluid art, liquid, flowing, swirl, marble, organic, dynamic, abstract, background, copy space, design element, vivid, saturated, colorful","아크릴 푸어, 페인트, 플루이드 페인팅, 셀, 푸어링, 추상화, 탠저린, 울트라바이올렛, 옐로, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 유동적, 리퀴드, 흐름, 소용돌이, 마블, 유기적, 다이내믹, 추상, 배경, 여백",9. Graphic Resources,vivid_abstract_20,아크릴 푸어 (A 리퀴드),비비드 탠저린-바이올렛
va-04.png,photo,Macro of colorful oil and water bubbles and droplets,컬러풀한 오일 앤 워터 버블 매크로,"oil bubble, droplet, bubble, water drop, oil and water, macro bubble, coral, teal, magenta, banner, template, social media, presentation, poster, fluid art, liquid, flowing, swirl, marble, organic, dynamic, abstract, background, copy space, design element, vivid, saturated, colorful","오일 버블, 물방울, 버블, 워터 드롭, 오일 앤 워터, 매크로 버블, 코랄, 틸, 마젠타, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 유동적, 리퀴드, 흐름, 소용돌이, 마블, 유기적, 다이내믹, 추상, 배경, 여백",9. Graphic Resources,vivid_abstract_20,오일 버블 (A 리퀴드),비비드 코랄-틸
va-05.png,photo,Soft matte 3D blob shapes floating in a dreamy space,몽환적 공간에 떠 있는 소프트 매트 3D 블롭,"blob, 3d shape, matte, floating shape, soft shape, abstract form, magenta, tangerine, banner, template, social media, presentation, poster, 3d render, gradient, glossy, smooth, three dimensional, mesh gradient, abstract, background, copy space, design element, vivid, saturated, colorful, modern, contemporary","블롭, 3d 도형, 매트, 부유 도형, 소프트 셰이프, 추상 형태, 마젠타, 탠저린, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 3d 렌더, 그라데이션, 광택, 부드러운, 입체, 메시 그라데이션, 추상, 배경, 여백, 디자인 요소, 비비드",9. Graphic Resources,vivid_abstract_20,소프트 3D 블롭 (B 그라디언트),비비드 마젠타-탠저린
va-06.png,photo,A cluster of glossy gradient sphere orbs,광택 그라데이션 구체 오브 클러스터,"orb, sphere, ball, glossy sphere, gradient orb, cluster, electric blue, ultraviolet, pink, banner, template, social media, presentation, poster, 3d render, gradient, blob, glossy, smooth, three dimensional, mesh gradient, abstract, background, copy space, design element, vivid, saturated, colorful","오브, 구체, 볼, 광택 구체, 그라데이션 오브, 클러스터, 일렉트릭 블루, 울트라바이올렛, 핑크, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 3d 렌더, 그라데이션, 블롭, 광택, 부드러운, 입체, 메시 그라데이션, 추상, 배경, 여백",9. Graphic Resources,vivid_abstract_20,그라디언트 오브 (B 그라디언트),비비드 블루-바이올렛
va-07.png,photo,A smooth flowing gradient mesh wave in vivid sunset tones,비비드 선셋 톤의 부드러운 그라데이션 메쉬 웨이브,"mesh gradient, wave, flowing wave, curve, silk, smooth wave, coral, magenta, indigo, banner, template, social media, presentation, poster, 3d render, gradient, blob, glossy, smooth, three dimensional, abstract, background, copy space, design element, vivid, saturated, colorful, modern","메시 그라데이션, 웨이브, 흐르는 물결, 곡선, 실크, 부드러운 웨이브, 코랄, 마젠타, 인디고, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 3d 렌더, 그라데이션, 블롭, 광택, 부드러운, 입체, 추상, 배경, 여백, 디자인 요소",9. Graphic Resources,vivid_abstract_20,메쉬 웨이브 (B 그라디언트),비비드 코랄-인디고
va-08.png,photo,A twisted glossy 3D holographic ribbon loop floating,떠 있는 홀로그래픽 3D 리본 루프,"ribbon, loop, holographic, twisted ribbon, 3d ribbon, iridescent, cyan, pink, lime, banner, template, social media, presentation, poster, 3d render, gradient, blob, glossy, smooth, three dimensional, mesh gradient, abstract, background, copy space, design element, vivid, saturated, colorful","리본, 루프, 홀로그래픽, 꼬인 리본, 3d 리본, 이리데센트, 시안, 핑크, 라임, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 3d 렌더, 그라데이션, 블롭, 광택, 부드러운, 입체, 메시 그라데이션, 추상, 배경, 여백",9. Graphic Resources,vivid_abstract_20,홀로그래픽 리본 (B 그라디언트),비비드 홀로그래픽
va-09.png,photo,Extreme macro of soft velvet fabric folds with deep sheen,깊은 광택의 벨벳 원단 주름 익스트림 매크로,"velvet, fabric, fold, drape, textile, plush, ultraviolet, magenta, banner, template, social media, presentation, poster, texture, tactile, macro, surface, material, close up, sensory, abstract, background, copy space, design element, vivid, saturated, colorful, modern","벨벳, 원단, 주름, 드레이프, 텍스타일, 플러시, 울트라바이올렛, 마젠타, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 텍스처, 촉감, 매크로, 표면, 재질, 클로즈업, 감각적, 추상, 배경, 여백, 디자인 요소",9. Graphic Resources,vivid_abstract_20,벨벳 주름 (C 텍스처),비비드 바이올렛-마젠타
va-10.png,photo,A rippled soft 3D dune surface like sculpted sand,조각한 모래 같은 소프트 3D 듄 표면,"dune, sand, ripple, wave surface, sculpted, undulating, coral, yellow, banner, template, social media, presentation, poster, texture, tactile, macro, surface, material, close up, sensory, abstract, background, copy space, design element, vivid, saturated, colorful, modern","듄, 모래, 물결, 웨이브 표면, 조각된, 기복, 코랄, 옐로, 배너, 템플릿, 소셜 미디어, 프레젠테이션, 포스터, 텍스처, 촉감, 매크로, 표면, 재질, 클로즈업, 감각적, 추상, 배경, 여백, 디자인 요소",9. Graphic Resources,vivid_abstract_20,소프트 듄 (C 텍스처),비비드 코랄-옐로
